,gas,label,index,energy
440,ClF5,bareSurface,7,-1.5925705591652
441,ClF5,bareSurface,8,-1.1111705591652
442,ClF5,bareSurface,9,-1.3205705591652
443,ClF5,bareSurface,mean,-1.1009105591652
444,ClF5,bareSurface,min,-1.5925705591652
445,ClF5,bareSurface,max,-0.6676705591652
446,ClF5,bareSurface,range,0.9248999999999999
447,CoCl2,ADDIonADDI,0,-1.9453513926459
448,CoCl2,ADDIonADDI,1,-2.1649513926459
449,CoCl2,ADDIonADDI,2,-2.8840513926459
450,CoCl2,ADDIonADDI,3,-2.1199513926459
451,CoCl2,ADDIonADDI,4,-2.6863513926459
452,CoCl2,ADDIonADDI,5,-2.7680513926459
453,CoCl2,ADDIonADDI,6,-1.9913513926459
454,CoCl2,ADDIonADDI,7,-1.4928513926459
455,CoCl2,ADDIonADDI,8,-2.2125513926459
456,CoCl2,ADDIonADDI,9,-1.9461513926459
457,CoCl2,ADDIonADDI,mean,-2.2211613926458997
458,CoCl2,ADDIonADDI,min,-2.8840513926459
459,CoCl2,ADDIonADDI,max,-1.4928513926459
460,CoCl2,ADDIonADDI,range,1.3912000000000002
461,CoCl2,HFonADDI,0,-0.09161658018669
462,CoCl2,HFonADDI,1,-0.03011658018669
463,CoCl2,HFonADDI,2,-0.24611658018669
464,CoCl2,HFonADDI,3,-0.02471658018669
465,CoCl2,HFonADDI,4,-0.03601658018669
466,CoCl2,HFonADDI,5,-0.32611658018669
467,CoCl2,HFonADDI,6,-0.12051658018669
468,CoCl2,HFonADDI,7,-0.08991658018669
469,CoCl2,HFonADDI,8,-0.24031658018669
470,CoCl2,HFonADDI,9,-0.23341658018669
471,CoCl2,HFonADDI,mean,-0.14388658018669
472,CoCl2,HFonADDI,min,-0.32611658018669
473,CoCl2,HFonADDI,max,-0.02471658018669
474,CoCl2,HFonADDI,range,0.3014
475,CoCl2,ADDIonHF,0,-0.8911513926459
476,CoCl2,ADDIonHF,1,-0.4365513926459
477,CoCl2,ADDIonHF,2,-0.7338513926459
478,CoCl2,ADDIonHF,3,-0.9765513926459
479,CoCl2,ADDIonHF,4,-0.6485513926459
480,CoCl2,ADDIonHF,5,-0.7274513926459
481,CoCl2,ADDIonHF,6,-1.0009513926459
482,CoCl2,ADDIonHF,7,-0.5794513926459
483,CoCl2,ADDIonHF,8,-0.6608513926459
484,CoCl2,ADDIonHF,9,-0.5699513926459
485,CoCl2,ADDIonHF,mean,-0.7225313926459
486,CoCl2,ADDIonHF,min,-1.0009513926459
487,CoCl2,ADDIonHF,max,-0.4365513926459
488,CoCl2,ADDIonHF,range,0.5644
489,CoCl2,bareSurface,0,-0.7578513926459
490,CoCl2,bareSurface,1,-0.9788513926459
491,CoCl2,bareSurface,2,-1.2250513926459
