    step           PotEng           volume            press             p_xx             p_yy             p_zz             p_xy             p_yz             p_zx
     161        -721.3425        3528.0932         465.6712         629.4865         743.7424          23.7848           9.9604          -3.8541         -72.7050
     162        -721.3426        3528.0932         467.3040         621.3527         745.9725          34.5869           7.9722          -1.2598         -70.3516
     163        -721.3428        3528.0932         468.8556         616.4293         747.7806          42.3566           6.7074           0.5349         -68.8268
     164        -721.3430        3528.0932         470.0961         616.0384         748.8752          45.3748           6.4868           1.1243         -68.5162
     165        -721.3434        3528.0932         470.8244         621.1856         749.0728          42.2149           7.5294           0.2406         -69.6873
     166        -721.3439        3528.0932         470.8202         631.9857         748.2578          32.2173           9.9137          -2.1633         -72.4142
     167        -721.3445        3528.0932         469.8818         646.5367         746.5984          16.5103          13.2275          -5.6579         -76.2095
     168        -721.3451        3528.0932         468.0019         659.4791         744.7297          -0.2031          16.2912          -8.8727         -79.6937
     169        -721.3458        3528.0932         465.3039         663.6243         743.3448         -11.0573          17.5671         -10.0294         -81.1034
     170        -721.3468        3528.0932         462.0124         654.0599         742.7173         -10.7401          16.0366          -8.0356         -79.3139
     171        -721.3481        3528.0932         458.4035         632.3997         742.1652           0.6455          12.1176          -3.4442         -74.9477
     172        -721.3495        3528.0932         454.4120         611.8768         739.8675          11.4916           8.8225           0.1108         -71.6024
     173        -721.3513        3528.0932         449.7867         609.7736         735.0217           4.5648           9.5490          -1.3828         -73.3018
     174        -721.3535        3528.0932         444.9348         627.5851         730.4376         -23.2182          14.1537          -7.4446         -79.3698
     175        -721.3561        3528.0932         440.9241         634.9595         731.3591         -43.5462          15.7597          -9.7435         -81.5380
     176        -721.3594        3528.0932         437.1940         608.4050         734.4630         -31.2860          10.3043          -3.9248         -75.6893
     177        -721.3633        3528.0932         429.6896         588.7129         726.0600         -25.7042           8.3732          -2.2591         -74.6916
     178        -721.3682        3528.0932         415.6866         609.2314         712.9402         -75.1118          15.2638          -9.9989         -83.3841
     179        -721.3741        3528.0932         402.5368         574.6069         715.2297         -82.2262           9.1224          -2.6194         -75.8266
     180        -721.3812        3528.0932         390.7650         560.0720         692.6721         -80.4490          10.8630          -6.4457         -81.4955
     181        -721.3896        3528.0932         371.7667         572.9415         717.1844        -174.8258          11.7935          -4.4269         -77.4129
     182        -721.3989        3528.0932         354.4681         448.1222         609.7133           5.5690           3.9835          -9.6505         -88.6108
     183        -721.4022        3528.0932         301.8045         712.2219         866.3849        -673.1932          28.6631           8.4089         -55.6946
     184        -721.4119        3528.0932         321.6425         484.6685         652.9073        -172.6481           8.7082          -6.8295         -81.9386
     185        -721.4119        3528.0932         322.7699         488.3450         656.6008        -176.6362           8.9871          -6.4020         -81.5809
     186        -721.4121        3528.0932         324.9191         494.9473         663.0978        -183.2879           9.4675          -5.5934         -81.0028
     187        -721.4124        3528.0932         327.8473         502.8627         670.8276        -190.1486          10.0512          -4.6831         -80.3881
     188        -721.4126        3528.0932         331.1686         510.1281         677.6980        -194.3202          10.5494          -3.9341         -79.9112
     189        -721.4130        3528.0932         334.3142         515.0027         681.9593        -194.0192          10.7985          -3.5170         -79.7576
     190        -721.4135        3528.0932         336.8170         516.4690         682.8932        -188.9112          10.7629          -3.5004         -79.9708
     191        -721.4139        3528.0932         338.0807         514.6920         680.7477        -181.1975          10.4891          -3.7793         -80.3800
     192        -721.4146        3528.0932         337.6638         510.3357         676.4572        -173.8014          10.0588          -4.1426         -80.8052
     193        -721.4154        3528.0932         334.9582         505.2804         672.1363        -172.5420           9.7459          -4.2317         -80.8975
     194        -721.4165        3528.0932         329.8333         501.7246         669.9133        -182.1380           9.8162          -3.8176         -80.4321
     195        -721.4178        3528.0932         323.1752         499.9543         669.6546        -200.0834          10.3567          -3.1707         -79.6418
     196        -721.4194        3528.0932         316.9699         496.9662         667.8198        -213.8763          10.7666          -3.1712         -79.3379
     197        -721.4214        3528.0932         313.2751         489.4659         661.9603        -211.6010          10.2463          -4.3320         -79.9401
     198        -721.4238        3528.0932         312.4094         482.0493         658.0301        -202.8512           9.0743          -5.4060         -80.2847
     199        -721.4269        3528.0932         311.0807         483.7329         663.6088        -214.0996           8.8836          -4.7543         -79.3008
     200        -721.4305        3528.0932         305.0014         483.5191         663.9223        -232.4371           9.5572          -4.3105         -78.9801
     201        -721.4350        3528.0932         293.3834         461.8486         644.5803        -226.2789           7.7278          -5.5210         -79.7992
     202        -721.4404        3528.0932         279.9384         456.0486         645.1182        -261.3515           7.5290          -3.1413         -77.2776
     203        -721.4467        3528.0932         273.5285         443.9049         627.0936        -250.4130           7.2042          -7.0927         -80.9606
     204        -721.4539        3528.0932         262.7066         442.5055         663.2585        -317.6443           2.3193           1.9196         -67.5377
     205        -721.4587        3528.0932         243.6778         401.7483         521.8973        -192.6122          11.3741         -29.4101        -107.9763
     206        -721.4629        3528.0932         243.0668         414.3735         617.1703        -302.3435           2.0075          -5.8868         -74.7134
     207        -721.4603        3528.0932         250.5797         439.7486         713.6549        -401.6646          -5.1900          13.9869         -47.8883
     208        -721.4617        3528.0932         250.0447         436.0016         691.3939        -377.2614          -3.0767           9.3123         -54.5185
     209        -721.4633        3528.0932         249.6460         429.9811         653.0101        -334.0534           0.5565           0.9447         -66.3989
     210        -721.4636        3528.0932         250.0255         423.7859         609.0817        -282.7911           4.6462          -9.1815         -80.7655
     211        -721.4637        3528.0932         250.0281         423.9002         610.0863        -283.9022           4.5274          -8.9581         -80.4408
     212        -721.4637        3528.0932         250.0235         424.1102         612.0159        -286.0558           4.2822          -8.5408         -79.7724
     213        -721.4637        3528.0932         250.0257         424.3944         614.7608        -289.0781           3.9556          -7.9702         -78.8765
     214        -721.4639        3528.0932         250.0137         424.7671         618.1108        -292.8368           3.5439          -7.2384         -77.7644
     215        -721.4639        3528.0932         250.0238         425.1890         621.7941        -296.9117           3.0974          -6.4498         -76.5617
     216        -721.4640        3528.0932         250.0496         425.6529         625.4670        -300.9712           2.6514          -5.6849         -75.3535
     217        -721.4641        3528.0932         250.0905         426.1398         628.8094        -304.6777           2.2635          -4.9987         -74.2737
     218        -721.4642        3528.0932         250.1315         426.6078         631.6949        -307.9082           1.9138          -4.4030         -73.3704
     219        -721.4644        3528.0932         250.1824         427.0305         633.6531        -310.1364           1.6908          -4.0216         -72.7962
     220        -721.4645        3528.0932         250.1964         427.2672         634.1252        -310.8032           1.6411          -3.9275         -72.6817
     221        -721.4648        3528.0932         250.1991         427.3299         632.7703        -309.5029           1.7761          -4.2311         -73.1563
     222        -721.4651        3528.0932         250.1270         427.0983         629.5251        -306.2424           2.1411          -4.9340         -74.2229
     223        -721.4655        3528.0932         249.9546         426.5606         624.9649        -301.6616           2.5574          -5.8847         -75.6490
     224        -721.4658        3528.0932         249.5908         425.7402         620.6729        -297.6408           2.8513          -6.7811         -76.8955
     225        -721.4664        3528.0932         248.9713         424.8306         618.6149        -296.5316           2.7731          -7.1895         -77.2620
     226        -721.4670        3528.0932         248.0391         424.0461         620.2241        -300.1529           2.2272          -6.7749         -76.2909
     227        -721.4678        3528.0932         246.7926         423.5148         624.8602        -307.9971           1.3595          -5.7438         -74.3141
