    step           PotEng           volume            press             p_xx             p_yy             p_zz             p_xy             p_yz             p_zx
     159       -1003.0331        4466.5536        1292.2142        1659.2014        1715.3206         502.1206         105.4673        -323.1255        -537.8932
     160       -1003.0382        4466.5536        1282.8037        1649.9041        1721.5328         476.9742         120.3045        -291.9354        -547.9456
     161       -1003.0446        4466.5536        1271.4199        1636.0995        1711.0332         467.1269         118.8571        -301.4671        -551.5082
     162       -1003.0522        4466.5536        1267.9115        1628.5258        1708.3457         466.8628         117.4990        -315.4312        -531.4366
     163       -1003.0613        4466.5536        1251.8016        1615.0562        1717.6926         422.6559         136.6967        -257.7912        -583.3073
     164       -1003.0681        4466.5536        1261.0792        1608.0156        1669.3860         505.8362          95.4911        -427.0076        -457.8219
     165       -1003.0747        4466.5536        1242.7230        1600.7285        1699.1996         428.2409         132.7206        -297.9270        -549.6616
     166       -1003.0707        4466.5536        1231.1533        1596.5868        1727.7920         369.0811         158.4894        -190.3069        -629.1282
     167       -1003.0730        4466.5536        1233.1329        1597.0059        1719.1553         383.2375         152.0331        -217.9115        -610.7783
     168       -1003.0755        4466.5536        1237.3561        1598.1218        1704.8483         409.0983         140.2130        -266.5365        -577.9597
     169       -1003.0763        4466.5536        1243.5815        1600.0269        1689.6396         441.0781         125.5350        -323.7279        -538.1857
     170       -1003.0764        4466.5536        1243.4899        1599.9756        1690.1283         440.3658         125.8558        -322.3776        -538.9173
     171       -1003.0764        4466.5536        1243.3077        1599.8784        1691.0669         438.9777         126.4692        -319.7630        -540.3252
     172       -1003.0765        4466.5536        1243.0533        1599.7417        1692.3893         437.0290         127.3358        -316.0719        -542.3151
     173       -1003.0767        4466.5536        1242.7521        1599.5767        1694.0098         434.6700         128.3852        -311.5944        -544.7418
     174       -1003.0768        4466.5536        1242.4254        1599.3875        1695.7865         432.1026         129.5248        -306.7062        -547.3906
     175       -1003.0770        4466.5536        1242.1390        1599.2266        1697.5956         429.5947         130.6490        -301.8817        -550.0309
     176       -1003.0772        4466.5536        1241.8868        1599.0753        1699.2246         427.3606         131.6551        -297.5926        -552.4185
     177       -1003.0775        4466.5536        1241.6998        1598.9419        1700.6748         425.4829         132.5210        -293.9619        -554.4910
     178       -1003.0778        4466.5536        1241.5952        1598.8345        1701.6550         424.2961         133.1082        -291.6668        -555.9050
     179       -1003.0780        4466.5536        1241.6261        1598.7783        1701.9680         424.1318         133.2857        -291.3740        -556.3131
     180       -1003.0786        4466.5536        1241.7738        1598.7308        1701.3639         425.2265         132.9701        -293.5828        -555.4431
     181       -1003.0792        4466.5536        1242.0155        1598.6648        1699.8550         427.5266         132.1938        -298.2688        -553.2607
     182       -1003.0798        4466.5536        1242.2466        1598.4850        1697.7394         430.5155         131.2213        -304.4856        -550.2327
     183       -1003.0807        4466.5536        1242.2159        1597.9894        1695.6879         432.9707         130.5475        -310.0616        -547.4551
     184       -1003.0819        4466.5536        1241.6306        1596.9766        1694.5924         433.3229         130.7967        -312.2017        -546.4410
     185       -1003.0833        4466.5536        1240.2809        1595.2860        1694.9977         430.5589         132.3130        -309.0913        -548.2309
     186       -1003.0851        4466.5536        1238.5089        1593.0204        1696.6083         425.8983         134.8073        -301.7507        -552.0891
     187       -1003.0871        4466.5536        1236.5150        1590.2323        1697.3605         421.9521         136.7705        -296.2475        -555.4800
     188       -1003.0897        4466.5536        1234.9122        1587.2019        1695.2330         422.3015         137.0021        -298.9087        -554.9096
     189       -1003.0930        4466.5536        1233.8436        1584.0958        1690.8599         426.5751         136.3585        -308.1901        -550.4067
     190       -1003.0970        4466.5536        1232.2682        1579.9320        1688.6908         428.1817         137.9483        -311.1526        -548.4586
     191       -1003.1022        4466.5536        1229.0897        1573.4058        1690.5698         423.2937         142.4368        -301.3343        -553.7763
     192       -1003.1085        4466.5536        1225.2750        1564.8612        1688.6962         422.2677         144.7214        -299.0996        -557.2719
     193       -1003.1165        4466.5536        1220.9904        1553.3599        1678.8427         430.7683         144.7252        -314.1229        -551.7441
     194       -1003.1268        4466.5536        1214.2804        1536.3226        1675.7485         430.7700         152.4725        -306.6182        -556.9182
     195       -1003.1403        4466.5536        1207.1125        1513.8296        1666.2075         441.3006         154.8271        -312.3092        -560.4173
     196       -1003.1581        4466.5536        1202.0272        1485.5441        1651.7161         468.8215         165.5981        -329.6188        -552.4795
     197       -1003.1823        4466.5536        1193.5033        1444.5831        1651.1562         484.7708         168.9508        -312.7862        -581.3633
     198       -1003.2119        4466.5536        1204.4993        1419.5568        1583.4747         610.4664         187.2619        -440.8735        -496.5876
     199       -1003.2125        4466.5536        1172.3494        1328.2759        1730.9087         457.8636         149.8278         -74.9530        -804.1703
     200       -1003.2538        4466.5536        1195.3185        1394.6729        1534.3207         656.9618         214.4716        -456.0044        -525.1606
     201       -1003.2552        4466.5536        1195.0466        1390.0996        1548.4678         646.5724         205.2959        -434.8318        -538.9628
     202       -1003.2568        4466.5536        1195.4049        1382.8488        1573.2750         630.0909         189.2646        -398.9668        -562.2109
     203       -1003.2579        4466.5536        1197.4623        1376.2391        1601.2220         614.9258         171.5726        -361.1531        -586.5432
     204       -1003.2589        4466.5536        1201.2224        1373.6300        1621.5281         608.5090         159.8184        -337.4119        -601.8475
     205       -1003.2607        4466.5536        1205.7238        1375.9623        1628.0100         613.1989         158.2826        -335.3438        -603.6020
     206       -1003.2635        4466.5536        1210.0953        1382.3021        1620.3213         627.6625         167.0009        -353.9413        -592.7081
     207       -1003.2665        4466.5536        1213.6605        1390.2141        1603.0897         647.6777         182.2795        -384.9692        -574.6506
     208       -1003.2693        4466.5536        1215.2369        1395.6484        1583.5704         666.4921         198.6299        -415.7109        -558.0716
     209       -1003.2731        4466.5536        1212.7488        1392.2966        1574.1897         671.7601         206.4227        -425.1593        -556.1730
     210       -1003.2783        4466.5536        1205.6731        1377.3300        1581.8839         657.8054         199.7413        -403.3341        -574.0507
     211       -1003.2839        4466.5536        1197.1301        1355.6415        1601.3881         634.3609         181.3301        -363.9787        -600.6635
     212       -1003.2906        4466.5536        1191.7943        1341.5347        1604.9851         628.8633         173.2601        -355.9025        -604.1019
     213       -1003.2994        4466.5536        1190.8075        1341.2191        1579.5323         651.6710         189.6688        -398.2945        -575.4326
     214       -1003.3086        4466.5536        1191.6646        1340.8153        1562.0765         672.1019         207.4910        -428.4346        -560.1064
     215       -1003.3198        4466.5536        1186.9489        1320.7968        1589.5024         650.5473         191.1564        -387.2223        -587.4872
     216       -1003.3315        4466.5536        1180.6102        1307.4817        1595.5514         638.7973         172.4647        -383.4565        -572.1256
     217       -1003.3438        4466.5536        1165.3132        1304.0575        1538.1874         653.6948         198.2076        -447.2817        -523.4926
     218       -1003.3561        4466.5536        1144.3451        1268.5698        1583.0952         581.3700         152.9477        -364.9741        -575.2898
     219       -1003.3679        4466.5536        1155.8334        1316.1110        1525.9487         625.4406         170.2834        -483.7402        -453.0687
     220       -1003.3750        4466.5536        1125.4821        1264.2356        1615.5778         496.6329         103.6627        -287.7525        -629.1201
     221       -1003.3843        4466.5536        1138.2523        1300.6281        1562.6902         551.4386         136.9641        -411.8215        -516.3769
     222       -1003.3795        4466.5536        1159.6823        1342.9004        1518.1266         618.0197         159.5456        -535.1255        -396.5329
     223       -1003.3822        4466.5536        1154.5455        1333.6293        1528.2969         601.7106         154.8407        -507.8853        -421.4648
     224       -1003.3854        4466.5536        1146.3342        1317.8242        1546.9526         574.2258         145.6024        -459.8501        -465.2295
     225       -1003.3866        4466.5536        1138.0599        1299.9823        1570.5144         543.6831         132.8775        -402.7788        -517.0831
     226       -1003.3866        4466.5536        1138.2501        1300.2805        1570.3176         544.1520         132.9297        -403.6820        -516.3658
     227       -1003.3867        4466.5536        1138.5985        1300.8394        1569.9205         545.0359         133.0337        -405.4423        -514.9674
     228       -1003.3868        4466.5536        1139.1210        1301.6671        1569.3945         546.3014         133.1767        -407.9174        -512.9778
     229       -1003.3870        4466.5536        1139.7787        1302.6958        1568.7863         547.8540         133.3467        -410.9384        -510.5371
     230       -1003.3872        4466.5536        1140.5400        1303.8817        1568.1934         549.5450         133.5183        -414.2463        -507.8380
     231       -1003.3874        4466.5536        1141.3633        1305.1465        1567.7091         551.2343         133.6883        -417.5513        -505.0988
     232       -1003.3876        4466.5536        1142.1824        1306.4113        1567.3972         552.7385         133.8250        -420.5534        -502.5476
     233       -1003.3879        4466.5536        1143.0529        1307.7224        1567.4198         554.0165         133.9344        -423.1570        -500.2261
     234       -1003.3882        4466.5536        1143.9017        1308.9863        1567.9412         554.7775         133.9661        -424.8840        -498.5003
     235       -1003.3887        4466.5536        1144.6447        1310.0867        1569.1445         554.7030         133.9063        -425.1990        -497.7662
     236       -1003.3893        4466.5536        1145.2090        1310.9081        1571.2048         553.5142         133.7020        -423.6607        -498.3685
     237       -1003.3899        4466.5536        1145.5352        1311.4183        1574.1353         551.0518         133.3335        -420.1490        -500.4273
     238       -1003.3907        4466.5536        1145.6342        1311.6788        1577.7505         547.4734         132.7976        -415.1522        -503.5876
     239       -1003.3917        4466.5536        1145.6282        1311.9604        1581.5088         543.4153         132.1258        -410.1013        -506.7536
     240       -1003.3928        4466.5536        1145.7764        1312.7252        1584.6631         539.9410         131.4276        -407.1253        -508.2486
     241       -1003.3942        4466.5536        1146.1981        1314.3384        1586.5695         537.6865         130.8041        -407.8685        -506.5556
     242       -1003.3958        4466.5536        1146.9193        1316.8256        1587.4519         536.4805         130.2257        -412.0268        -501.5117
     243       -1003.3977        4466.5536        1147.6649        1319.5681        1588.8619         534.5645         129.4123        -415.8628        -495.5901
     244       -1003.3999        4466.5536        1147.8917        1321.5397        1592.8428         529.2928         127.9575        -414.1138        -492.8521
