    step           PotEng           volume            press             p_xx             p_yy             p_zz             p_xy             p_yz             p_zx
     139       -1012.6252        4928.2438         664.9305         582.4467        1040.0269         372.3177        -132.1083         167.0467        -170.9291
     140       -1012.6262        4928.2438         665.0141         582.9532        1039.6338         372.4554        -132.0959         167.0952        -172.0918
     141       -1012.6273        4928.2438         662.1841         578.8143        1035.4486         372.2896        -136.5329         168.2994        -172.0154
     142       -1012.6288        4928.2438         659.4989         574.7111        1031.1104         372.6752        -141.2255         169.2872        -172.3172
     143       -1012.6306        4928.2438         660.0591         575.7181        1030.6486         373.8105        -141.6285         168.8134        -174.3492
     144       -1012.6329        4928.2438         654.8766         567.4321        1022.9693         374.2285        -151.1307         170.4774        -173.8754
     145       -1012.6357        4928.2438         655.8785         569.8857        1022.1927         375.5570        -151.4639         169.8987        -176.4960
     146       -1012.6393        4928.2438         643.0315         550.4780        1003.2202         375.3963        -173.1296         174.3549        -174.1778
     147       -1012.6432        4928.2438         670.4401         596.3907        1036.1223         378.8073        -133.3421         166.3144        -186.5363
     148       -1012.6425        4928.2438         564.3104         428.8905         890.5266         373.5141        -303.2047         198.2344        -155.6145
     149       -1012.6492        4928.2438         649.4634         565.2574        1004.3896         378.7432        -169.6431         174.1130        -181.8563
     150       -1012.6492        4928.2438         647.7588         562.4340        1002.1349         378.7075        -172.4225         174.6300        -181.3659
     151       -1012.6493        4928.2438         644.9072         557.6686         998.3664         378.6865        -177.1113         175.5031        -180.5555
     152       -1012.6494        4928.2438         641.9129         552.6148         994.4277         378.6963        -182.1069         176.4235        -179.7197
     153       -1012.6495        4928.2438         639.9449         549.1649         991.8656         378.8043        -185.5693         177.0338        -179.2092
     154       -1012.6498        4928.2438         639.7084         548.4758         991.6465         379.0031        -186.3276         177.1169        -179.2150
     155       -1012.6499        4928.2438         641.2399         550.6014         993.8318         379.2865        -184.2974         176.6628        -179.7289
     156       -1012.6502        4928.2438         643.8623         554.5347         997.4756         379.5765        -180.5251         175.8624        -180.5582
     157       -1012.6506        4928.2438         646.5815         558.6768        1001.2379         379.8297        -176.6241         175.0366        -181.3975
     158       -1012.6510        4928.2438         647.5441         560.0939        1002.6226         379.9156        -175.5251         174.7551        -181.7229
     159       -1012.6515        4928.2438         645.5620         556.9106         999.9984         379.7770        -179.0915         175.3942        -181.2000
     160       -1012.6522        4928.2438         641.8671         551.0856         995.0297         379.4859        -185.3889         176.6521        -180.2737
     161       -1012.6529        4928.2438         640.5386         549.0766         993.3351         379.2042        -188.0223         177.4031        -180.1607
     162       -1012.6539        4928.2438         643.7543         554.2596         997.9564         379.0470        -183.5881         176.9988        -181.4157
     163       -1012.6552        4928.2438         646.3119         558.4367        1001.7543         378.7447        -180.3521         176.7679        -182.4105
     164       -1012.6566        4928.2438         642.2808         552.2174         996.4133         378.2118        -188.0421         178.2182        -181.5016
     165       -1012.6583        4928.2438         642.0607         551.2295         996.6233         378.3294        -191.0910         178.6419        -181.6456
     166       -1012.6603        4928.2438         650.0440         561.8138        1009.3051         379.0131        -182.4709         177.0035        -183.9241
     167       -1012.6625        4928.2438         643.3766         549.6820        1001.5073         378.9405        -197.4734         179.4251        -182.1087
     168       -1012.6648        4928.2438         665.2770         580.3593        1035.4539         380.0179        -168.9241         175.6858        -186.5225
     169       -1012.6665        4928.2438         636.2900         534.7205         995.4810         378.6684        -220.7867         183.4390        -179.7104
     170       -1012.6658        4928.2438         727.2544         662.2446        1137.7847         381.7338         -87.2427         166.7099        -196.9052
     171       -1012.6692        4928.2438         668.8282         578.4269        1048.2863         379.7715        -177.8741         178.4085        -185.8639
     172       -1012.6692        4928.2438         669.1293         578.8015        1048.7806         379.8057        -177.5165         178.3241        -185.9234
